run_ts,total_fetched,unique,new,gov,cleared,austender,austender_cn,seek,apsjobs,NSW,VIC,QLD,WA,SA,TAS,NT,ACT
2026-04-30T15-14-53,114,67,15,11,1,0,0,67,0,28,12,16,2,2,0,0,5
2026-05-03T23-40-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-10T23-45-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-17T23-41-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-24T23-38-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-31T23-33-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-07T23-38-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-14T23-35-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-21T23-36-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-28T23-34-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-05T23-35-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-12T23-37-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-19T23-37-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-26T23-37-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-02T23-37-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
